cluster,mal,seed,scheduler,policy,baseline_cluster,baseline_mal,baseline_seed,baseline_scheduler,baseline_policy,cost_savings_delta_pct,co2_savings_delta_pct,energy_savings_delta_pct,turnaround_delta_pct,turnaround_delta_s,run_cost_per_day_usd,baseline_cost_per_day_usd,run_turnaround_mean_s,baseline_turnaround_mean_s
cori_haswell,75,S7,rigid_easy_backfill,F30,cori_haswell,0,S7,rigid_easy_backfill,F0,5.7839419893062125,6.065664569074258,4.9422728313166315,34.55332052483183,1114.627148622018,2774.3982015082556,2944.719042685222,4340.444904171701,3225.8177555496827
cori_haswell,75,S7,rigid_easy_backfill,F10,cori_haswell,0,S7,rigid_easy_backfill,F0,1.9657796670978167,2.061528296682,1.6797228359162926,3.2060867399728985,103.42251531636975,2886.8323544909586,2944.719042685222,3329.2402708660525,3225.8177555496827
cori_haswell,75,S7,rigid_easy_backfill,F0,cori_haswell,0,S7,rigid_easy_backfill,F0,0.07104719763031549,0.07450774406018086,0.06070853325268156,-0.02566521944878547,-0.8279132059797121,2942.626902327308,2944.719042685222,3224.989842343703,3225.8177555496827
cori_knl,0,S0,min_steal_agreement,F30,cori_knl,0,S0,rigid_easy_backfill,F0,8.873142938923609,9.287951267696892,7.6245689915776085,3.91610877151724,259.89350511163593,9089.359011475302,9974.401954171752,6896.417674253749,6636.524169142113
cori_knl,0,S0,min_steal_agreement,F10,cori_knl,0,S0,rigid_easy_backfill,F0,3.415668468678918,3.575346695310551,2.9350366686341878,14.678104895330907,974.1159789506673,9633.709451683813,9974.401954171752,7610.640148092781,6636.524169142113
cori_knl,0,S0,min_steal_agreement,F0,cori_knl,0,S0,rigid_easy_backfill,F0,0.052378689825930046,0.054827328029946,0.04500828365100681,0.4043385690505248,26.834026860201448,9969.177493110185,9974.401954171752,6663.358196002315,6636.524169142113
cori_knl,0,S0,rigid_easy_backfill,F30,cori_knl,0,S0,rigid_easy_backfill,F0,8.86964587502109,9.28429072043307,7.621564012939093,0.21307595093160953,14.140836982205656,9089.707822685534,9974.401954171752,6650.665006124319,6636.524169142113
cori_knl,0,S0,rigid_easy_backfill,F10,cori_knl,0,S0,rigid_easy_backfill,F0,3.277581582788753,3.4308044203033705,2.8163805176472896,20.28010446772224,1345.894034527656,9647.482792728497,9974.401954171752,7982.418203669769,6636.524169142113
cori_knl,0,S0,rigid_easy_backfill,F0,cori_knl,0,S0,rigid_easy_backfill,F0,0.0,0.0,0.0,0.0,0.0,9974.401954171752,9974.401954171752,6636.524169142113,6636.524169142113
cori_knl,0,S3,min_steal_agreement,F30,cori_knl,0,S3,rigid_easy_backfill,F0,9.15349351526747,9.581407934411798,7.8654702360685365,7.490651442060929,497.1174537300476,9061.39467119951,9974.40080177695,7133.622403602257,6636.504949872209
cori_knl,0,S3,min_steal_agreement,F10,cori_knl,0,S3,rigid_easy_backfill,F0,3.451429541758429,3.612779573319132,2.9657656158597954,3.2112632628473774,213.11564539229403,9630.141385891031,9974.40080177695,6849.620595264503,6636.504949872209
cori_knl,0,S3,min_steal_agreement,F0,cori_knl,0,S3,rigid_easy_backfill,F0,0.05236208768659046,0.05480995005742935,0.044994016930846835,0.4042041867719226,26.825030862709355,9969.177997282912,9974.40080177695,6663.3299807349185,6636.504949872209
cori_knl,0,S3,rigid_easy_backfill,F30,cori_knl,0,S3,rigid_easy_backfill,F0,9.102709576091634,9.528249909342088,7.821832300302106,14.687685872524606,974.7489999517766,9066.46006483584,9974.40080177695,7611.253949823986,6636.504949872209
cori_knl,0,S3,rigid_easy_backfill,F10,cori_knl,0,S3,rigid_easy_backfill,F0,3.58462611364802,3.7522029190188952,3.080219585810366,4.762648053999603,316.07337384867606,9616.855825956536,9974.40080177695,6952.578323720885,6636.504949872209
cori_knl,0,S3,rigid_easy_backfill,F0,cori_knl,0,S3,rigid_easy_backfill,F0,0.0,0.0,0.0,0.0,0.0,9974.40080177695,9974.40080177695,6636.504949872209,6636.504949872209
cori_knl,0,S7,min_steal_agreement,F30,cori_knl,0,S7,rigid_easy_backfill,F0,8.564352924149379,8.964725681933999,7.3592300629741185,0.21505283031048156,14.272036046680114,9120.159495593052,9974.402530369152,6650.797594010705,6636.525557964025
