cluster,mal,seed,scheduler,policy,run,window_start_s,window_end_s,full_shutdown_windows_count,on_windows_count,target_active_fraction,target_off_fraction,target_off_nodes,mean_on_util_percent,mean_off_util_percent,node_off_fraction_percent,node_overrun_node_hours_total,node_overrun_node_hours_per_window,node_overrun_normalized_hours_per_window
cori_haswell,75,S7,rigid_easy_backfill,F30,cori_haswell_mal75_S7/rigid_easy_backfill/F30,45512.0,424714.0,4,3,0.7,0.30000000000000004,716.4000000000001,93.4125488553888,67.01910158431083,29.207626675041876,605.3333333333178,151.33333333332945,0.2112413921459093
cori_haswell,75,S7,rigid_easy_backfill,F10,cori_haswell_mal75_S7/rigid_easy_backfill/F10,45512.0,424714.0,4,3,0.9,0.09999999999999998,238.79999999999995,90.32640052112458,74.71829634282568,9.884055695142377,85.3999999999931,21.349999999998275,0.08940536013399614
cori_knl,0,S0,min_steal_agreement,F30,cori_knl_mal0_S0/min_steal_agreement/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.07559179741307,76.15380604011787,23.40187818263143,20453.216666666834,5113.304166666709,1.7593256835489635
cori_knl,0,S0,min_steal_agreement,F10,cori_knl_mal0_S0/min_steal_agreement/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.84731397375977,87.4664103358099,9.46167832197908,1668.7666666666207,417.1916666666552,0.43062723644369866
cori_knl,0,S0,rigid_easy_backfill,F30,cori_knl_mal0_S0/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,96.89245429626648,75.63205339939371,23.50217408133774,20127.5500000003,5031.887500000075,1.7313127924580494
cori_knl,0,S0,rigid_easy_backfill,F10,cori_knl_mal0_S0/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.58858539200928,89.13137816542744,9.317744890586292,2113.9999999999613,528.4999999999903,0.545520231213863
cori_knl,0,S3,min_steal_agreement,F30,cori_knl_mal0_S3/min_steal_agreement/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.65721052390192,75.15824452071168,23.641252924580236,19711.83333333296,4927.95833333324,1.6955540645930496
cori_knl,0,S3,min_steal_agreement,F10,cori_knl_mal0_S3/min_steal_agreement/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,97.88255373199418,89.51427238163926,9.530481222474538,1455.383333333275,363.84583333331875,0.3755634117808823
cori_knl,0,S3,rigid_easy_backfill,F30,cori_knl_mal0_S3/rigid_easy_backfill/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.91695339021997,75.26129834159025,23.58415909716488,19888.85000000003,4972.212500000008,1.7107805188549432
cori_knl,0,S3,rigid_easy_backfill,F10,cori_knl_mal0_S3/rigid_easy_backfill/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.54560911551572,87.43801932803375,9.66786660473438,1028.9833333333263,257.2458333333316,0.2655303812276338
cori_knl,0,S7,min_steal_agreement,F30,cori_knl_mal0_S7/min_steal_agreement/F30,121.0,431973.0,4,3,0.7,0.30000000000000004,2906.4000000000005,97.48123752752633,76.78172524428749,22.412504515895954,23520.91666666715,5880.229166666788,2.023200236260249
cori_knl,0,S7,min_steal_agreement,F10,cori_knl_mal0_S7/min_steal_agreement/F10,121.0,431973.0,4,3,0.9,0.09999999999999998,968.7999999999998,98.30044614184852,87.21074073596141,9.43669036436829,1745.4833333333017,436.37083333332544,0.4504240641343162
